CO_MES,CO_ANO,KG_LIQUIDO,DATA,KG_LIQUIDO_BILLIONS
1,2025,60584476836,2025-01-01,60.584476836
2,2025,51624629314,2025-02-01,51.624629314
3,2025,65011929332,2025-03-01,65.011929332
4,2025,69341819195,2025-04-01,69.341819195
5,2025,74335768570,2025-05-01,74.33576857
6,2025,74015443872,2025-06-01,74.015443872
7,2025,81820666079,2025-07-01,81.820666079
8,2025,81355786963,2025-08-01,81.355786963
9,2025,75759474757,2025-09-01,75.759474757
10,2025,80689691197,2025-10-01,80.689691197
11,2025,68137471881,2025-11-01,68.137471881
12,2025,77150503445,2025-12-01,77.150503445
1,2026,61187174677,2026-01-01,61.187174677
